OBJECTID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,CITY,COUNTRY_CODE,REGION_CODE,ADO_CODE,STATE_NAME,COUNTY_NAME,COUNTY_ASSOC_STATE,ARPT_NAME,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMAL,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIMAL,SURVEY_METHOD_CODE,ELEV,ELEV_METHOD_CODE,MAG_VARN,MAG_HEMIS,MAG_VARN_YEAR,TPA,CHART_NAME,DIST_CITY_TO_AIRPORT,DIRECTION_CODE,ACREAGE,RESP_ARTCC_ID,COMPUTER_ID,ARTCC_NAME,FSS_ON_ARPT_FLAG,FSS_ID,FSS_NAME,PHONE_NO,TOLL_FREE_NO,ALT_FSS_ID,ALT_FSS_NAME,ALT_TOLL_FREE_NO,NOTAM_ID,NOTAM_FLAG,ACTIVATION_DATE,ARPT_STATUS,FAR_139_TYPE_CODE,FAR_139_CARRIER_SER_CODE,ARFF_CERT_TYPE_DATE,NASP_CODE,ASP_ANLYS_DTRM_CODE,CUST_FLAG,LNDG_RIGHTS_FLAG,JOINT_USE_FLAG,MIL_LNDG_FLAG,INSPECT_METHOD_CODE,INSPECTOR_CODE,LAST_INSPECTION,LAST_INFO_RESPONSE,FUEL_TYPES,AIRFRAME_REPAIR_SER_CODE,PWR_PLANT_REPAIR_SER,BOTTLED_OXY_TYPE,BULK_OXY_TYPE,LGT_SKED,BCN_LGT_SKED,TWR_TYPE_CODE,SEG_CIRCLE_MKR_FLAG,BCN_LENS_COLOR,LNDG_FEE_FLAG,MEDICAL_USE_FLAG,ARPT_PSN_SOURCE,POSITION_SRC_DATE,ARPT_ELEV_SOURCE,ELEVATION_SRC_DATE,CONTR_FUEL_AVBL,TRNS_STRG_BUOY_FLAG,TRNS_STRG_HGR_FLAG,TRNS_STRG_TIE_FLAG,OTHER_SERVICES,WIND_INDCR_FLAG,ICAO_ID,MIN_OP_NETWORK,USER_FEE_FLAG,CTA,x,y
13015,2025/11/27,19507.,A,OR,3S7,MANZANITA,US,ANM,SEA,OREGON,TILLAMOOK,OR,NEHALEM BAY STATE,PU,PU,45,41,53.3,N,45.69813888,123,55,46.7,W,-123.92963888,E,30,S,20,E,1985,,SEATTLE,2,S,18,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1961/01,O,,,,,NOT ANALYZED,,,,,S,S,2024/08/09,,,NONE,NONE,,,,,NON-ATCT,Y,,N,,FAA-EST,2010/12/08,,,,,,Y,,Y,,N,,,-13795784.2943,5732107.0185
13021,2025/11/27,19514.,A,OR,MFR,MEDFORD,US,ANM,SEA,OREGON,JACKSON,OR,ROGUE VALLEY INTL/MEDFORD,PU,PU,42,22,29.873,N,42.37496472,122,52,23.835,W,-122.8732875,E,1335.3,S,16,E,2010,969,KLAMATH FALLS,3,N,938,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MFR,Y,,O,I B,S,1973/05,NGPY,NO OBJECTION,N,N,N,Y,F,F,2025/08/08,,"100LL,A,A+",MAJOR,MAJOR,HIGH,,SEE RMK,SS-SR,ATCT,Y,WG,Y,,3RD PARTY SURVEY,2019/09/10,3RD PARTY SURVEY,2019/09/10,,,Y,Y,"AFRT,AMB,AVNCS,CARGO,INSTR,SALES",Y-L,KMFR,Y,,-2C,-13678191.7966,5217313.8843
13033,2025/11/27,19524.4,A,OR,12S,MONUMENT,US,ANM,SEA,OREGON,GRANT,OR,MONUMENT MUNI,PU,PU,44,49,53.5,N,44.83152777,119,25,46.8,W,-119.42966666,E,2323,S,18,E,1985,,SEATTLE,1,NW,18,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1960/03,O,,,,,NOT ANALYZED,,,,,S,S,2025/09/09,,,NONE,NONE,NONE,NONE,,,NON-ATCT,N,,N,,FAA-EST,2010/07/09,,,,,,Y,,Y,,N,,,-13294849.6782,5595037.8606
13035,2025/11/27,19529.2,A,OR,16S,MYRTLE CREEK,US,ANM,SEA,OREGON,DOUGLAS,OR,MYRTLE CREEK MUNI,PU,PU,42,59,50.14,N,42.99726111,123,18,55.25,W,-123.31534722,E,619,E,18,E,1985,981,KLAMATH FALLS,2,SW,81,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,,O,,,,NGY,NO OBJECTION,N,N,N,Y,F,S,2023/08/10,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,NON-ATCT,Y,WG,N,,ADO,2007/11/16,ADO,2007/11/16,,,,Y,,Y-L,,N,,,-13727401.6595,5311554.9693
13037,2025/11/27,19535.,A,OR,2S6,NEWBERG,US,ANM,SEA,OREGON,YAMHILL,OR,SPORTSMAN AIRPARK,PR,PU,45,17,44.424,N,45.29567333,122,57,19.362,W,-122.95537833,E,181,E,19,E,1985,,SEATTLE,1,SE,60,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1946/05,O,,,,GY,NOT ANALYZED,N,N,N,N,S,S,2023/09/25,,"100LL,A",MAJOR,MAJOR,NONE,NONE,SS-SR,,NON-ATCT,N,,N,,,,ADO,2007/07/03,,,,Y,"INSTR,RNTL,SALES",Y,,N,,,-13687330.106,5668189.9275
13042,2025/11/27,19535.2,A,OR,17S,NEWBERG,US,ANM,SEA,OREGON,YAMHILL,OR,CHEHALEM AIRPARK,PR,PU,45,19,25.42,N,45.32372777,123,3,15.37,W,-123.05426944,E,190,E,19,E,1985,,SEATTLE,4,NW,28,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,,O,,,,,NO OBJECTION,,,,,S,S,2024/08/12,1994/04/08,"100LL,A",MAJOR,MAJOR,,,SS-SR,,NON-ATCT,N,,N,,,,,,,,,Y,"AGRI,CHTR,INSTR,RNTL,SALES",Y,,N,,,-13698338.614,5672630.5929
13043,2025/11/27,19538.,A,OR,ONP,NEWPORT,US,ANM,SEA,OREGON,LINCOLN,OR,NEWPORT MUNI,PU,PU,44,34,49.3,N,44.58036111,124,3,28.5,W,-124.05791666,E,160.1,S,15,E,2020,,SEATTLE,3,S,700,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,ONP,Y,1945/03,O,,,,NGRY3,NOT ANALYZED,N,N,N,Y,F,S,2023/09/06,,"100LL,A",,,NONE,NONE,SEE RMK,,NON-ATCT,Y,WG,N,,3RD PARTY SURVEY,2009/06/18,3RD PARTY SURVEY,2009/06/18,,,Y,Y,AFRT,Y-L,KONP,N,,,-13810064.1115,5555698.0987
13045,2025/11/27,19541.,A,OR,OTH,NORTH BEND,US,ANM,SEA,OREGON,COOS,OR,SOUTHWEST OREGON RGNL,PU,PU,43,25,1,N,43.41694444,124,14,49.3,W,-124.24702777,E,17.4,S,15,E,2020,,KLAMATH FALLS,1,NW,619,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,OTH,Y,1940/01,O,I A,S,1973/05,NGRY3,NO OBJECTION,N,N,N,Y,F,F,2024/11/18,,"100LL,A",MAJOR,MAJOR,,,SEE RMK,SS-SR,ATCT,Y,WG,Y,,3RD PARTY SURVEY,2008/05/22,3RD PARTY SURVEY,2008/05/22,,,Y,Y,"AFRT,AMB,CHTR,INSTR,RNTL,SALES",Y-L,KOTH,N,,,-13831115.8639,5375651.9156
13053,2025/11/27,19548.1,A,OR,5S0,OAKRIDGE,US,ANM,SEA,OREGON,LANE,OR,OAKRIDGE STATE,PU,PU,43,45,9.2,N,43.75255555,122,30,16.3,W,-122.50452777,E,1393,E,19,E,1985,,KLAMATH FALLS,1,W,39,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1961/12,O,,,,,NO OBJECTION,N,N,N,N,S,S,2023/06/22,,,NONE,NONE,NONE,NONE,,,NON-ATCT,Y,,N,,FAA-EST,2011/03/22,,,,,,Y,,Y,,N,,,-13637141.6512,5427229.0955
13055,2025/11/27,19554.,A,OR,ONO,ONTARIO,US,ANM,SEA,OREGON,MALHEUR,OR,ONTARIO MUNI,PU,PU,44,1,9.7,N,44.01936111,117,0,46.9,W,-117.01302777,E,2193.3,S,13,E,2020,,KLAMATH FALLS,3,W,480,ZLC,ZCU,SALT LAKE CITY,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,ONO,Y,1947/05,O,,,,NGPY3,NOT ANALYZED,N,N,N,Y,S,S,2025/09/25,1981/06/24,"100LL,A",MAJOR,MAJOR,NONE,,SEE RMK,SS-SR,NON-ATCT,N,WG,N,,3RD PARTY SURVEY,2016/01/13,3RD PARTY SURVEY,2016/01/13,,,N,Y,"AGRI,AMB,GLD,INSTR,RNTL,TOW",Y-L,KONO,N,,,-13025830.6675,5468438.8487
